po_id,supplier_id,site_id,part_id,ordered_qty,promised_lead_time,qty_fill_rate,is_late
PO000001,SUP004,SITE01,P00001,16,26,0.9999993750003906,1
PO000002,SUP004,SITE01,P00001,5,27,0.9999980000040001,1
PO000003,SUP004,SITE01,P00001,5,26,0.9999980000040001,1
PO000004,SUP004,SITE01,P00001,3,29,0.9999966666777778,1
PO000005,SUP004,SITE01,P00001,5,25,0.9999980000040001,1
PO000006,SUP004,SITE01,P00001,5,27,0.9999980000040001,0
PO000007,SUP004,SITE01,P00001,4,27,0.9999975000062501,1
PO000008,SUP004,SITE01,P00001,13,27,0.9999992307698226,1
PO000009,SUP004,SITE01,P00001,4,26,0.9999975000062501,0
PO000010,SUP004,SITE01,P00001,8,30,0.9999987500015626,0
PO000011,SUP004,SITE01,P00001,7,28,0.9999985714306123,0
PO000012,SUP004,SITE02,P00001,12,28,0.9999991666673611,1
PO000013,SUP004,SITE02,P00001,11,26,0.9999990909099173,0
PO000014,SUP004,SITE02,P00001,4,27,0.9999975000062501,1
PO000015,SUP004,SITE02,P00001,5,28,0.9999980000040001,1
PO000016,SUP004,SITE02,P00001,21,27,0.9999995238097505,1
PO000017,SUP004,SITE02,P00001,6,23,0.9999983333361112,1
PO000018,SUP004,SITE02,P00001,9,26,0.9999988888901234,0
PO000019,SUP004,SITE02,P00001,6,28,0.9999983333361112,1
PO000020,SUP004,SITE02,P00001,4,29,0.7499981250046875,1
PO000021,SUP004,SITE02,P00001,14,26,0.9999992857147959,1
PO000022,SUP004,SITE02,P00001,4,28,0.9999975000062501,0
PO000023,SUP004,SITE02,P00001,5,25,0.9999980000040001,0
PO000024,SUP004,SITE02,P00001,8,27,0.8749989062513672,0
PO000025,SUP004,SITE03,P00001,4,30,0.9999975000062501,0
PO000026,SUP004,SITE03,P00001,3,25,0.9999966666777778,0
PO000027,SUP004,SITE03,P00001,2,29,0.9999950000249999,1
PO000028,SUP004,SITE03,P00001,3,28,0.9999966666777778,0
PO000029,SUP004,SITE03,P00001,6,27,0.8333319444467593,1
PO000030,SUP004,SITE03,P00001,8,25,0.9999987500015626,0
PO000031,SUP004,SITE03,P00001,8,24,0.9999987500015626,1
PO000032,SUP004,SITE03,P00001,3,24,0.9999966666777778,1
PO000033,SUP004,SITE04,P00001,26,26,0.6538459023669606,1
PO000034,SUP004,SITE04,P00001,5,26,0.9999980000040001,0
PO000035,SUP004,SITE04,P00001,11,25,0.7272720661163036,0
PO000036,SUP004,SITE04,P00001,27,26,0.9999996296297669,1
PO000037,SUP004,SITE04,P00001,7,27,0.9999985714306123,1
PO000038,SUP004,SITE04,P00001,16,27,0.9999993750003906,0
PO000039,SUP004,SITE04,P00001,18,25,0.9999994444447531,0
PO000040,SUP004,SITE04,P00001,17,29,0.9999994117650519,1
PO000041,SUP004,SITE04,P00001,10,25,0.9999990000010001,1
PO000042,SUP004,SITE04,P00001,13,30,0.9999992307698226,0
PO000043,SUP004,SITE04,P00001,11,29,0.9999990909099173,0
